事件名称,事件别称,事件内容,事件发生时间,事件发生地点,事件类型,党史人物,组织机构,思想理念,,,,,,,,
“三反”运动,,中共中央作出《关于实行精兵简政、增产节约、反对贪污、反对浪费和反对官僚主义的决定》。“三反”运动在全国展开，到1952年11月结束。运动中抓住重大典型案件严肃处理，先后任天津地委书记的刘青山、张子善被查处并判处死刑。,1951年12月-1952年10月,,运动事件,,,,,,,,,,,
《关于首先在大中城市开展“五反”斗争的指示》,,中共中央发出《关于首先在大中城市开展“五反”斗争的指示》，要求在全国大中城市向违法的资本家开展反对行贿、反对偷税漏税、反对盗骗国家财产、反对偷工减料和反对盗窃经济情报的斗争。“五反”运动到1952年10月结束。,1952年1月26日,,文献事件,,,,,,,,,,,
“五反”运动,,中共中央发出《关于首先在大中城市开展“五反”斗争的指示》，要求在全国大中城市向违法的资本家开展反对行贿、反对偷税漏税、反对盗骗国家财产、反对偷工减料和反对盗窃经济情报的斗争。“五反”运动到1952年11月结束。,1952年1月-1952年10月,,运动事件,,,,,,,,,,,
 治理开发长江的第一个大型工程——荆江分洪第一期工程全面开工,,治理开发长江的第一个大型工程——荆江分洪第一期工程全面开工。到1978年底，新安江水电站、黄河三门峡水利枢纽、黄河青铜峡水利枢纽、丹江口水利枢纽、黄河刘家峡水利枢纽等一批水利工程陆续建成。,1952年4月5日,,重大项目及重要成就事件,,,,,,,,,,,
《中华人民共和国惩治贪污条例》公布施行,,,1952年4月21日,,文献事件,,,,,,,,,,,
中共中央批转中央人民政府体育运动委员会党组《关于加强人民体育运动工作的报告》,,毛泽东为中华全国体育总会成立大会题词“发展体育运动，增强人民体质”。1954年1月8日，中共中央批转中央人民政府体育运动委员会党组《关于加强人民体育运动工作的报告》，指出：“改善人民的健康状况，增强人民体质，是党的一项重要政治任务。”,1954年1月8日,,文献事件,毛泽东,,,,,,,,,,
成渝铁路建成通车,,成渝铁路建成通车。这是新中国成立后完全采用国产材料自行修建的第一条铁路干线。到1978年底，宝成、鹰厦、包兰、兰新、成昆、湘黔等铁路陆续建成。,1952年7月1日,,重大项目及重要成就事件,,,,,,,,,,,
《中华人民共和国民族区域自治实施纲要》公布施行,,《中华人民共和国民族区域自治实施纲要》公布施行，对民族自治地方的建立、自治机关的组成和自治权利等重要问题作出明确规定。此前，成立于1947年5月1日的内蒙古自治政府于1949年12月2日改称内蒙古自治区人民政府,1952年8月9日,,文献事件,,,,,,,,,,,
新疆维吾尔自治区成立,,,1955年10月1日,,成立事件,,,,,,,,,,,
广西僮族自治区成立,,1965年10月12日改称广西壮族自治区,1958年3月5日,,成立事件,,,,,,,,,,,
宁夏回族自治区成立,,,1958年10月25日,,成立事件,,,,,,,,,,,
西藏自治区成立,,,1965年9月9日,,成立事件,,,,,,,,,,,
《中华人民共和国全国人民代表大会及地方各级人民代表大会选举法》公布施行,,《中华人民共和国全国人民代表大会及地方各级人民代表大会选举法》公布施行。经过一年多的工作，全国进行基层选举的单位为21.4万余个，登记选民总数为3.23亿多人，选举出基层人民代表大会代表，并逐级召开地方各级人民代表大会。在此基础上，选举产生出席全国人民代表大会的代表。,1953年3月1日,,文献事件,,,,,,,,,,,
《为准备普选进行全国人口调查登记的指示》,,政务院发出《为准备普选进行全国人口调查登记的指示》。以1953年6月30日24时为标准时间，全国开展人口调查登记。1954年11月1日公布调查登记结果，全国人口总数为601938035人。,1953年4月3日,,文献事件,,,,,,,,,,,
中苏两国政府签订《关于苏维埃社会主义共和国联盟政府援助中华人民共和国中央人民政府发展中国国民经济的协定》,,中苏两国政府签订《关于苏维埃社会主义共和国联盟政府援助中华人民共和国中央人民政府发展中国国民经济的协定》，规定苏联援助中国建设91个工业项目。加上1950年已确定的50项和1954年增加的15项，共156项。后多次调整，确定154项，实际施工150项。因156项公布在先，仍称“156项工程”。,1953年5月15日,,文献事件,,,,,,,,,,,
1953年中央政治局会议召开,,会议确定对资本主义工商业实行利用、限制和改造的方针。毛泽东第一次比较完整地阐述了党在过渡时期总路线和总任务的基本内容。12月28日，中共中央批转中央宣传部《为动员一切力量把我国建设成为一个伟大的社会主义国家而斗争——关于党在过渡时期总路线的学习和宣传提纲》。,1953年6月15日,,会议事件,,,会议确定对资本主义工商业实行利用、限制和改造的方针,,,,,,,,
中共中央批转中央宣传部《为动员一切力量把我国建设成为一个伟大的社会主义国家而斗争——关于党在过渡时期总路线的学习和宣传提纲》,,,1953年12月28日,,文献事件,,,,,,,,,,,
中共中央作出《关于实行粮食的计划收购与计划供应的决议》,,10月16日 中共中央作出《关于实行粮食的计划收购与计划供应的决议》。11月15日，作出《关于在全国实行计划收购油料的决定》。1954年9月，政务院下达对棉布实行计划收购和计划供应、对棉花实行计划收购的命令。国家对粮食等主要农产品实行统购统销政策，并延续到20世纪80年代中期，之后逐步取消。,1953年10月16日,,文献事件,,,,,,,,,,,
作出《关于在全国实行计划收购油料的决定》,,10月16日 中共中央作出《关于实行粮食的计划收购与计划供应的决议》。11月15日，作出《关于在全国实行计划收购油料的决定》。1954年9月，政务院下达对棉布实行计划收购和计划供应、对棉花实行计划收购的命令。国家对粮食等主要农产品实行统购统销政策，并延续到20世纪81年代中期，之后逐步取消。,1953年11月15日,,文献事件,,,,,,,,,,,
中共中央作出《关于加强干部管理工作的决定》,,中共中央作出《关于加强干部管理工作的决定》，对党管干部原则作出明确规定。,1953年11月24日,,文献事件,,,,,,,,,,,
全国军事系统党的高级干部会议召开,,全国军事系统党的高级干部会议召开。会议根据毛泽东的指示，明确提出建设优良的现代化的革命军队的总方针总任务。,1953年12月7日－1954年1月26日,,会议事件,,,提出建设优良的现代化的革命军队的总方针总任务,,,,,,,,
中共七届四中全会召开,,中共七届四中全会召开。全会通过《关于增强党的团结的决议》。,1954年2月6日－1954年2月10日,,会议事件,,,,,,,,,,,
鞍山钢铁公司三大工程——大型轧钢厂、无缝钢管厂、七号炼铁炉举行开工生产,,,1954年12月26日,,重大项目及重要成就事件,,,,,,,,,,,
武汉钢铁联合企业、包头钢铁公司、攀枝花钢铁公司等钢铁企业陆续建成,,,1978年,,重大项目及重要成就事件,,,,,,,,,,,
颁布新中国成立后第一部《中国人民解放军政治工作条例（草案）》,,中共中央、中央人民政府人民革命军事委员会颁布新中国成立后第一部《中国人民解放军政治工作条例（草案）》。,1954年4月15日,,文献事件,,"中共中央,中央人民政府人民革命军事委员会",,,,,,,,,
日内瓦会议,,周恩来率中国代表团参加讨论和平解决朝鲜问题和恢复印度支那和平问题的日内瓦会议。这是新中国首次作为五大国之一参加重要国际会议。,1954年4月26日－1954年7月21日,,会议事件,,,,,,,,,,,
周恩来访问印度、缅甸,,周恩来在访问印度、缅甸期间，分别与印度总理尼赫鲁和缅甸总理吴努发表《联合声明》，共同倡导和平共处五项原则。此前，1953年12月31日，周恩来在接见参加中印有关问题谈判的印度代表团时首次提出和平共处五项原则。,1954年6月28日-1954年6月29日,,访问事件,周恩来,,和平共处五项原则,,,,,,,,
和平共处五项原则,,1953年12月31日，周恩来在接见参加中印有关问题谈判的印度代表团时首次提出和平共处五项原则。,1953年12月31日,,决策事件,周恩来,,,,,,,,,,
南昌飞机制造厂试制成功初教－5教练机,,,1954年7月,,重大项目及重要成就事件,,,,,,,,,,,
一届全国人大一次会议举行,,会议通过《中华人民共和国宪法》；选举毛泽东为国家主席，刘少奇为全国人大常委会委员长；决定周恩来为国务院总理；决定设立国防委员会，毛泽东兼任国防委员会主席。全国人民代表大会的召开，标志着人民代表大会制度在全国范围内建立起来。,1954年9月15日－1954年9月28日,,会议事件,"毛泽东,刘少奇,周恩来",,,,,,,,,,
中央政治局作出《关于成立党的军事委员会的决议》,,中央政治局作出《关于成立党的军事委员会的决议》。毛泽东任中央军事委员会主席，彭德怀主持军委日常工作。,1954年9月28日,,文献事件,"毛泽东,彭德怀",,,,,,,,,,
新疆军区生产建设兵团成立,,新疆军区遵照军委总参谋部8月6日的批复公布成立新疆军区生产建设兵团。1975年3月，兵团撤销，成立新疆维吾尔自治区农垦总局。,1954年10月7日,,成立事件,,,,,,,,,,,
作出《关于恢复新疆生产建设兵团的决定》,,1981年12月3日，中共中央、国务院、中央军委作出《关于恢复新疆生产建设兵团的决定》。,1981年12月3日,,文献事件,,"中共中央,国务院,中央军委",,,,,,,,,
全国政协二届一次会议举行,,周恩来作政治报告，指出，由于一届全国人大一次会议已经召开，政协代行全国人大职权的政权机关的作用已经失去，但政协本身的统一战线作用仍然存在。会议推举毛泽东为全国政协名誉主席，选举周恩来为主席；通过《中国人民政治协商会议章程》。,1954年12月21日－1954年12月25日,,会议事件,,,,,,,,,,,
